16,1,3,4,,
,,,,,
File:,dump.comp170000,T,~,2800,K
z,Ni_count,Mn_count,Total_count,,
,0,0,0,0,
,1,0,0,0,
,2,0,0,0,
,3,0,0,0,
,4,0,0,0,
,5,0,0,0,
,6,0,0,0,
,7,0,0,0,
,8,6,10,16,
,9,100,146,246,
10,793,898,1691,,
11,2444,2255,4699,,
12,3000,2855,5855,,
13,1493,1596,3089,,
14,334,389,723,,
15,21,43,64,,
16,1,0,1,,
,,,,,
File:,dump.comp180000,T,~,2700,K
z,Ni_count,Mn_count,Total_count,,
,0,0,0,0,
,1,0,0,0,
,2,0,0,0,
,3,0,0,0,
,4,0,0,0,
,5,0,0,0,
,6,0,0,0,
,7,0,1,1,
,8,3,12,15,
,9,90,148,238,
10,746,865,1611,,
11,2424,2261,4685,,
12,3061,2888,5949,,
13,1537,1624,3161,,
14,302,353,655,,
15,29,40,69,,
,,,,,
File:,dump.comp190000,T,~,2600,K
z,Ni_count,Mn_count,Total_count,,
,0,0,0,0,
,1,0,0,0,
,2,0,0,0,
,3,0,0,0,
,4,0,0,0,
,5,0,0,0,
,6,0,0,0,
,7,0,0,0,
,8,2,16,18,
,9,86,114,200,
10,706,748,1454,,
11,2364,2231,4595,,
12,3106,3040,6146,,
13,1576,1576,3152,,
14,331,426,757,,
15,21,38,59,,
16,0,3,3,,
,,,,,
File:,dump.comp200000,T,~,2500,K
z,Ni_count,Mn_count,Total_count,,
,0,0,0,0,
,1,0,0,0,
,2,0,0,0,
,3,0,0,0,
,4,0,0,0,
,5,0,0,0,
,6,0,0,0,
,7,0,0,0,
,8,5,5,10,
,9,73,102,175,
10,612,754,1366,,
11,2417,2137,4554,,
12,3165,3022,6187,,
13,1563,1705,3268,,
14,330,428,758,,
15,27,38,65,,
16,0,1,1,,
,,,,,
File:,dump.comp210000,T,~,2400,K
z,Ni_count,Mn_count,Total_count,,
,0,0,0,0,
,1,0,0,0,
,2,0,0,0,
,3,0,0,0,
,4,0,0,0,
,5,0,0,0,
,6,0,0,0,
,7,0,0,0,
,8,4,8,12,
,9,60,89,149,
10,656,699,1355,,
11,2297,2169,4466,,
12,3122,2969,6091,,
13,1712,1761,3473,,
14,328,445,773,,
15,13,49,62,,
16,0,3,3,,
,,,,,
File:,dump.comp220000,T,~,2300,K
z,Ni_count,Mn_count,Total_count,,
,0,0,0,0,
,1,0,0,0,
,2,0,0,0,
,3,0,0,0,
,4,0,0,0,
,5,0,0,0,
,6,0,0,0,
,7,0,1,1,
,8,0,5,5,
,9,60,68,128,
10,605,646,1251,,
11,2285,2080,4365,,
12,3242,3051,6293,,
13,1653,1864,3517,,
14,320,427,747,,
15,27,50,77,,
,,,,,
File:,dump.comp230000,T,~,2200,K
z,Ni_count,Mn_count,Total_count,,
,0,0,0,0,
,1,0,0,0,
,2,0,0,0,
,3,0,0,0,
,4,0,0,0,
,5,0,0,0,
,6,0,0,0,
,7,0,0,0,
,8,4,3,7,
,9,55,53,108,
10,546,537,1083,,
11,2123,1970,4093,,
12,3392,3219,6611,,
13,1709,1894,3603,,
14,335,457,792,,
15,25,59,84,,
16,3,0,3,,
,,,,,
File:,dump.comp240000,T,~,2100,K
z,Ni_count,Mn_count,Total_count,,
,0,0,0,0,
,1,0,0,0,
,2,0,0,0,
,3,0,0,0,
,4,0,0,0,
,5,0,0,0,
,6,0,0,0,
,7,0,0,0,
,8,0,1,1,
,9,40,67,107,
10,528,543,1071,,
11,2144,1973,4117,,
12,3373,3101,6474,,
13,1738,1944,3682,,
14,344,504,848,,
15,25,55,80,,
16,0,4,4,,
,,,,,
File:,dump.comp250000,T,~,2000,K
z,Ni_count,Mn_count,Total_count,,
,0,0,0,0,
,1,0,0,0,
,2,0,0,0,
,3,0,0,0,
,4,0,0,0,
,5,0,0,0,
,6,0,0,0,
,7,0,0,0,
,8,0,2,2,
,9,51,40,91,
10,454,460,914,,
11,2046,1895,3941,,
12,3411,3235,6646,,
13,1830,1993,3823,,
14,384,515,899,,
15,16,51,67,,
16,0,1,1,,
,,,,,
File:,dump.comp260000,T,~,1900,K
z,Ni_count,Mn_count,Total_count,,
,0,0,0,0,
,1,0,0,0,
,2,0,0,0,
,3,0,0,0,
,4,0,0,0,
,5,0,0,0,
,6,0,0,0,
,7,0,0,0,
,8,2,0,2,
,9,34,33,67,
10,402,425,827,,
11,2006,1755,3761,,
12,3500,3209,6709,,
13,1847,2151,3998,,
14,374,550,924,,
15,27,67,94,,
16,0,2,2,,
,,,,,
File:,dump.comp270000,T,~,1800,K
z,Ni_count,Mn_count,Total_count,,
,0,0,0,0,
,1,0,0,0,
,2,0,0,0,
,3,0,0,0,
,4,0,0,0,
,5,0,0,0,
,6,0,0,0,
,7,0,0,0,
,8,1,1,2,
,9,14,32,46,
10,350,356,706,,
11,1908,1608,3516,,
12,3587,3181,6768,,
13,1922,2350,4272,,
14,386,609,995,,
15,23,55,78,,
16,1,0,1,,
,,,,,
File:,dump.comp280000,T,~,1700,K
z,Ni_count,Mn_count,Total_count,,
,0,0,0,0,
,1,0,0,0,
,2,0,0,0,
,3,0,0,0,
,4,0,0,0,
,5,0,0,0,
,6,0,0,0,
,7,0,0,0,
,8,0,0,0,
,9,18,26,44,
10,328,303,631,,
11,1852,1548,3400,,
12,3535,3221,6756,,
13,2084,2426,4510,,
14,360,589,949,,
15,15,77,92,,
16,0,2,2,,
,,,,,
File:,dump.comp290000,T,~,1600,K
z,Ni_count,Mn_count,Total_count,,
,0,0,0,0,
,1,0,0,0,
,2,0,0,0,
,3,0,0,0,
,4,0,0,0,
,5,0,0,0,
,6,0,0,0,
,7,0,0,0,
,8,1,0,1,
,9,16,14,30,
10,285,230,515,,
11,1869,1442,3311,,
12,3713,3295,7008,,
13,1951,2450,4401,,
14,337,687,1024,,
15,20,70,90,,
16,0,4,4,,
,,,,,
File:,dump.comp300000,T,~,1500,K
z,Ni_count,Mn_count,Total_count,,
,0,0,0,0,
,1,0,0,0,
,2,0,0,0,
,3,0,0,0,
,4,0,0,0,
,5,0,0,0,
,6,0,0,0,
,7,0,0,0,
,8,0,0,0,
,9,10,17,27,
10,234,205,439,,
11,1666,1353,3019,,
12,3761,3386,7147,,
13,2168,2526,4694,,
14,336,659,995,,
15,16,44,60,,
16,1,2,3,,
,,,,,
File:,dump.comp310000,T,~,1400,K
z,Ni_count,Mn_count,Total_count,,
,0,0,0,0,
,1,0,0,0,
,2,0,0,0,
,3,0,0,0,
,4,0,0,0,
,5,0,0,0,
,6,0,0,0,
,7,0,0,0,
,8,0,0,0,
,9,10,10,20,
10,203,158,361,,
11,1637,1233,2870,,
12,3930,3451,7381,,
13,2123,2691,4814,,
14,274,607,881,,
15,15,41,56,,
16,0,1,1,,
,,,,,
File:,dump.comp320000,T,~,1300,K
z,Ni_count,Mn_count,Total_count,,
,0,0,0,0,
,1,0,0,0,
,2,0,0,0,
,3,0,0,0,
,4,0,0,0,
,5,0,0,0,
,6,0,0,0,
,7,0,0,0,
,8,0,1,1,
,9,4,5,9,
10,178,116,294,,
11,1469,1105,2574,,
12,4035,3554,7589,,
13,2179,2724,4903,,
14,318,643,961,,
15,8,42,50,,
16,1,2,3,,
,,,,,
File:,dump.comp330000,T,~,1200,K
z,Ni_count,Mn_count,Total_count,,
,0,0,0,0,
,1,0,0,0,
,2,0,0,0,
,3,0,0,0,
,4,0,0,0,
,5,0,0,0,
,6,0,0,0,
,7,0,0,0,
,8,0,0,0,
,9,2,5,7,
10,162,105,267,,
11,1424,1002,2426,,
12,4325,3690,8015,,
13,2035,2763,4798,,
14,237,583,820,,
15,7,44,51,,
,,,,,
File:,dump.comp340000,T,~,1100,K
z,Ni_count,Mn_count,Total_count,,
,0,0,0,0,
,1,0,0,0,
,2,0,0,0,
,3,0,0,0,
,4,0,0,0,
,5,0,0,0,
,6,0,0,0,
,7,0,0,0,
,8,0,0,0,
,9,4,2,6,
10,122,84,206,,
11,1292,935,2227,,
12,4473,3794,8267,,
13,2056,2782,4838,,
14,239,561,800,,
15,6,33,39,,
16,0,1,1,,
,,,,,
File:,dump.comp350000,T,~,1000,K
z,Ni_count,Mn_count,Total_count,,
,0,0,0,0,
,1,0,0,0,
,2,0,0,0,
,3,0,0,0,
,4,0,0,0,
,5,0,0,0,
,6,0,0,0,
,7,0,0,0,
,8,0,0,0,
,9,3,1,4,
10,91,61,152,,
11,1223,788,2011,,
12,4579,3940,8519,,
13,2063,2826,4889,,
14,230,541,771,,
15,3,35,38,,
,,,,,
File:,dump.comp360000,T,~,900,K
z,Ni_count,Mn_count,Total_count,,
,0,0,0,0,
,1,0,0,0,
,2,0,0,0,
,3,0,0,0,
,4,0,0,0,
,5,0,0,0,
,6,0,0,0,
,7,0,0,0,
,8,0,0,0,
,9,0,2,2,
10,90,57,147,,
11,1200,772,1972,,
12,4726,4027,8753,,
13,1967,2807,4774,,
14,201,503,704,,
15,8,24,32,,
,,,,,
File:,dump.comp370000,T,~,800,K
z,Ni_count,Mn_count,Total_count,,
,0,0,0,0,
,1,0,0,0,
,2,0,0,0,
,3,0,0,0,
,4,0,0,0,
,5,0,0,0,
,6,0,0,0,
,7,0,0,0,
,8,0,0,0,
,9,1,0,1,
10,79,44,123,,
11,1147,693,1840,,
12,4864,4053,8917,,
13,1931,2874,4805,,
